Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
PORP4;2.4;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;-2,08%;0.0;22399000.0;0.0;13,66%
MNSA4;0.47;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;-208,15%;-362,66%;3.63;-13,50%;145,70%;0.0;-9105000.0;-6.52;-41,11%
CLAN3;0.0;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;-1,05%;0.0;1012240000.0;0.0;-63,96%
IVTT3;0.0;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;-0,40%;0.0;1083050000.0;0.0;20,67%
CFLU4;1000.0;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;8,88%;10,72%;1.1;17,68%;32,15%;0.0;60351000.0;0.06;8,14%
MNSA3;0.42;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;-208,15%;-362,66%;3.63;-13,50%;145,70%;0.0;-9105000.0;-6.52;-41,11%
PMET3;0.0;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;4,10%;0.0;-290863000.0;0.0;37,74%
CSTB3;150.0;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;40,85%;28,98%;2.6;22,40%;20,11%;0.0;8420670000.0;0.14;31,91%
CSTB4;147.69;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;40,85%;28,98%;2.6;22,40%;20,11%;0.0;8420670000.0;0.14;31,91%
POPR4;10.17;0.0;0.0;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;8,66%;5,65%;1.08;15,25%;19,93%;0.0;545803000.0;0.82;30,93%
GPAR3;47.5;-47308.2;5.0;833.441;0,00%;4.629;15.96;2181.36;20.24;2076.71;2083.92;38,21%;-1,76%;23.85;0,28%;-0,01%;0.0;757009000.0;0.02;-63,08%
GNDI3;66.95;-3584.82;5.84;3.423;2,39%;2.378;79.65;87.05;-6.21;91.13;50.88;3,93%;-0,09%;1.17;3,09%;-0,16%;0.0;7116080000.0;0.53;25,23%
PLDN4;486.0;-553.07;1.08;0.919;0,00%;0.611;1.07;-75.56;3.1;-33.12;-33.12;-1,22%;-0,17%;10.81;-1,27%;-0,20%;0.0;289939000.0;0.01;10,26%
LCSA4;35.09;-337.52;-228.0;79.738;0,00%;125.308;-202.27;-505.8;-96.61;-506.56;-506.56;-15,77%;-23,63%;0.29;-28,74%;67,55%;0.0;-377568000.0;-0.35;6.354,07%
LVTC3;3.54;-306.44;0.36;0.264;0,00%;0.163;0.68;1.26;-1.26;0.73;0.35;21,03%;-0,09%;2.37;15,39%;-0,12%;69938.4;640698000.0;0.0;-10,54%
ENEV3;12.56;-301.09;1.61;2.065;0,00%;0.462;18.03;7.65;-0.88;14.36;9.01;26,99%;1,53%;1.26;6,48%;-0,54%;84834900.0;12326800000.0;1.61;33,95%
BAHI4;86.0;-286.17;21.59;6.106;0,00%;4.038;-19.53;-695.13;-5.41;-724.01;179.23;-0,88%;-1,77%;0.24;-0,61%;-7,54%;0.0;105139000.0;1.06;42,62%
BHGR3;19.1;-272.16;1.1;3.613;0,00%;0.855;-194.45;23.7;-8.56;25.95;14.2;15,24%;-1,31%;0.96;3,93%;-0,40%;0.0;1077600000.0;0.2;20,67%
DMMO3;1.76;-258.65;-1.72;2.854;0,00%;3.346;11.9;6.37;-1.37;5.9;5.42;44,81%;-1,10%;2.25;70,39%;0,66%;0.0;-553275000.0;0.0;-17,37%
PRGA4;75.0;-257.76;8.29;2.345;0,00%;2.204;17.94;59.24;-8.23;63.85;25.1;3,96%;-0,47%;1.37;6,22%;-3,21%;0.0;15228100000.0;1.3;12,17%
RJCP3;0.01;-224.7;0.65;0.0;0,00%;0.619;0.0;-522.94;0.0;-523.96;-917.32;0,00%;0,00%;0.0;0,00%;-0,29%;0.0;17287200.0;0.0;0,00%
BAHI5;65.0;-216.29;16.32;4.615;0,00%;3.052;-14.76;-525.39;-4.09;-554.27;137.21;-0,88%;-1,77%;0.24;-0,61%;-7,54%;0.0;105139000.0;1.06;42,62%
ABYA3;4.91;-214.8;1.76;2.055;0,00%;0.527;1.98;19.96;-2.75;33.67;33.67;10,29%;-0,96%;2.09;2,78%;-0,82%;0.0;292060000.0;1.31;16,41%
PITI4;1.28;-204.74;0.0;0.0;0,00%;0.0;0.0;-2637.65;0.0;-2637.65;111.07;0,00%;0,00%;0.0;0,00%;0,00%;0.0;0.0;0.0;-29,63%
CALI4;50.0;-160.94;7.65;2.59;0,00%;0.835;75.08;-36.87;-1.17;-45.57;-54.88;-7,03%;-1,61%;1.07;-2,39%;-4,76%;0.0;24305000.0;2.1;94,53%
LCSA3;12.5;-120.23;-81.22;28.405;0,00%;44.638;-72.05;-180.18;-34.41;-180.95;-180.95;-15,77%;-23,63%;0.29;-28,74%;67,55%;0.0;-377568000.0;-0.35;6.354,07%
MAGG3;59.4;-119.98;1.32;0.684;0,00%;0.44;9.32;4.07;-1.55;6.41;5.34;16,82%;-0,57%;1.14;14,05%;-1,10%;0.0;2246130000.0;1.03;9,27%
SQIA3;27.37;-110.33;3.7;3.592;0,00%;1.49;25.87;62.33;-3.84;67.32;18.5;5,76%;-2,88%;1.43;2,81%;-3,35%;0.0;650717000.0;0.65;46,32%
LINX3;37.4;-90.95;4.38;7.885;1,52%;2.745;11.96;53.17;47.06;51.49;22.97;14,83%;-8,67%;2.14;6,82%;-4,81%;0.0;1619010000.0;0.22;15,54%
BNCA3;70.3;-90.3;2.45;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;-2,72%;0.0;3068150000.0;0.0;2,41%
HAPV3;3.89;-83.78;0.6;1.311;0,00%;0.403;11.09;19.6;-2.03;22.27;21.05;6,69%;-1,57%;1.41;2,28%;-0,71%;216373000.0;49174300000.0;0.22;42,68%
CALI3;26.0;-83.69;3.98;1.347;2,38%;0.434;39.04;-19.17;-0.61;-27.87;-33.56;-7,03%;-1,61%;1.07;-2,39%;-4,76%;175.0;24305000.0;2.1;94,53%
AMIL3;32.2;-73.28;7.7;1.129;0,00%;2.003;-16.95;136.58;-5.43;138.61;50.13;0,83%;-1,53%;0.75;2,22%;-10,51%;0.0;1532980000.0;1.24;28,47%
BRFS3;20.99;-72.14;2.32;0.656;0,00%;0.617;5.02;16.58;-2.3;21.18;8.33;3,96%;-0,47%;1.37;6,22%;-3,21%;183106000.0;15228100000.0;1.3;12,17%
CLSA3;7.34;-71.65;1.93;2.809;0,00%;1.586;3.48;-18.58;3.63;-13.6;-35.08;-15,11%;-3,92%;3.83;-16,66%;-2,70%;15796200.0;714122000.0;0.04;2,77%
BRTP3;35.71;-67.26;2.45;1.168;0,00%;0.684;8.98;6.03;-2.4;7.55;7.55;19,37%;-2,96%;1.29;13,41%;-3,64%;0.0;5302340000.0;0.91;3,66%
IDVL11;140.0;-66.0;60.56;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;-91,76%;0.0;237683000.0;0.0;0,00%
NGRD3;1.1;-58.8;0.56;0.944;0,52%;0.388;1.59;288.94;4.35;118.05;4.08;0,33%;-2,05%;2.6;0,19%;-0,95%;702868.0;448125000.0;0.05;6,62%
DOHL3;10.17;-58.07;1.1;1.315;0,00%;0.795;1.74;-79.53;2.87;-87.75;106.06;-1,65%;-2,26%;5.61;-1,08%;-1,90%;498.96;698034000.0;0.17;5,45%
HETA3;96.0;-58.01;-0.14;12.452;0,00%;3.545;-41.35;21.28;-0.14;162.34;162.34;58,52%;-21,46%;0.75;16,69%;0,24%;0.0;-351629000.0;-0.92;36,54%
PEFX3;19.0;-52.04;1.68;0.477;0,00%;0.597;20.34;5.75;-3.18;6.59;0.0;8,30%;-0,92%;1.07;11,77%;-3,24%;0.0;396955000.0;0.31;4,36%
PEFX5;19.0;-52.04;1.68;0.477;0,00%;0.597;20.34;5.75;-3.18;6.59;0.0;8,30%;-0,92%;1.07;11,77%;-3,24%;0.0;396955000.0;0.31;4,36%
MTIG4;23.0;-49.52;-359.15;56.001;0,00%;36.906;-50.93;-94.31;-44.0;-95.57;-104.6;-59,38%;-113,09%;0.27;-47,80%;725,28%;0.0;-7835380.0;-4.95;-26,54%
TOYB4;2.5;-47.96;-5.43;5.256;0,00%;4.405;-6.47;-9.04;-3.83;-9.15;-9.67;-58,16%;-10,96%;0.49;-59,36%;11,31%;0.0;-13852000.0;-0.07;-26,99%
IMBI3;5.01;-46.42;2.81;2659.02;0,00%;0.518;-2.21;-97.12;-0.37;-104.72;-107.45;-2.737,88%;-13.821,20%;0.05;-0,54%;-6,05%;0.0;62544000.0;0.22;-57,16%
LWSA3;4.33;-45.75;0.89;1.972;0,00%;0.555;4.99;30.44;10.9;18.06;7.46;6,48%;-4,31%;1.35;2,43%;-1,95%;36862200.0;2899830000.0;0.03;36,74%
CLAN4;3.0;-44.92;0.47;15.151;0,00%;0.406;-15.5;-82.56;-6.36;-97.43;22.68;-18,35%;-33,73%;0.73;-0,50%;-1,05%;0.0;1012240000.0;0.08;-63,96%
TOYB3;2.29;-43.94;-4.97;4.815;0,00%;4.035;-5.93;-8.28;-3.5;-8.39;-8.87;-58,16%;-10,96%;0.49;-59,36%;11,31%;0.0;-13852000.0;-0.07;-26,99%
EBTP3;10.21;-43.56;1.17;0.548;0,00%;0.353;-502.47;6.42;-0.73;8.46;2.85;8,53%;-1,03%;0.99;6,03%;-2,68%;0.0;10782200000.0;0.39;22,10%
EBTP4;10.0;-42.66;1.14;0.537;0,00%;0.346;-492.13;6.29;-0.71;8.33;2.81;8,53%;-1,03%;0.99;6,03%;-2,68%;0.0;10782200000.0;0.39;22,10%
AURE3;12.35;-42.0;1.01;2.003;15,38%;0.446;5.71;14.05;-1.22;17.97;10.39;14,26%;-4,77%;1.68;3,63%;-2,41%;44011200.0;12223500000.0;0.53;38,43%
MAPT4;6.17;-39.93;-0.9;0.0;0,00%;7.335;-135.01;-46.1;-0.8;-46.1;-46.1;0,00%;0,00%;0.0;-15,91%;2,25%;4249.09;-6313000.0;0.0;0,00%
FBRA4;34.58;-39.57;1.66;0.457;0,00%;0.738;18.94;7.4;-4.43;10.62;10.62;6,18%;-1,15%;1.11;11,94%;-4,20%;0.0;213406000.0;0.77;12,48%
BRTP4;20.81;-39.19;1.43;0.681;0,00%;0.399;5.23;3.51;-1.4;5.03;5.03;19,37%;-2,96%;1.29;13,41%;-3,64%;0.0;5302340000.0;0.91;3,66%
HBSA3;3.77;-39.09;2.14;1.552;0,00%;0.467;-10.26;10.36;-0.79;23.36;10.21;14,98%;-3,97%;0.81;5,23%;-5,47%;15439000.0;1341690000.0;3.22;16,41%
SEER3;5.16;-38.58;0.56;0.358;0,00%;0.197;13.11;2.63;-0.47;5.0;2.66;13,58%;-0,93%;1.07;8,12%;-1,44%;3367490.0;1191960000.0;0.69;11,23%
APER3;45.6;-37.83;1.98;2.751;0,00%;1.033;619.89;16.83;-4.35;17.2;12.5;16,35%;-7,38%;1.01;7,13%;-5,23%;38624.8;470241000.0;0.27;40,69%
ITEC3;40.1;-35.12;22.04;2611.69;0,00%;9.216;25.42;-26.0;-68.91;-24.8;-29.56;-10.044,70%;-7.435,88%;5.23;-63,06%;-62,76%;0.0;20143000.0;0.0;-74,79%
CRFB3;10.25;-33.61;1.12;0.196;0,00%;0.232;-257.26;5.72;-0.79;10.41;6.93;3,42%;-0,39%;1.0;5,49%;-3,33%;60148800.0;19301000000.0;1.25;16,84%
IMBI4;3.5;-32.43;1.96;1857.6;0,00%;0.362;-1.54;-67.85;-0.26;-75.44;-77.41;-2.737,88%;-13.821,20%;0.05;-0,54%;-6,05%;0.0;62544000.0;0.22;-57,16%
PRTX3;2.77;-32.27;-145.32;297.651;0,00%;1.4;-2.57;-97.11;-1.43;-128.99;37.19;-306,50%;-922,47%;0.05;-1,50%;450,37%;0.0;-18917000.0;-49.85;307,96%
OMGE3;27.57;-32.03;1.59;3.419;0,00%;0.543;10.86;12.56;-1.06;24.34;13.09;27,23%;-11,12%;1.72;4,69%;-4,95%;0.0;3483570000.0;1.66;38,73%
DFVA3;9.9;-31.38;60.69;4.327;0,00%;5.365;29.1;-55.91;-31.47;-58.28;-58.28;-7,74%;-13,79%;1.33;-10,35%;-193,42%;0.0;1170000.0;2.84;3,39%
OFSA3;19.48;-31.17;1.5;1.101;3,15%;0.813;1.77;8.85;4.33;9.46;7.2;12,44%;-3,53%;3.48;13,79%;-4,80%;69421.1;702794000.0;0.6;11,00%
MAPT3;4.8;-31.06;-0.7;0.0;0,00%;5.707;-105.03;-35.86;-0.62;-35.86;-35.86;0,00%;0,00%;0.0;-15,91%;2,25%;462.96;-6313000.0;0.0;0,00%
TEND3;12.39;-30.8;1.77;0.509;0,00%;0.335;1.28;7.32;-1.5;9.33;7.17;6,96%;-1,63%;1.82;5,68%;-5,73%;23305400.0;863549000.0;1.35;8,96%
ASTA4;25.83;-30.79;1.0;0.652;0,00%;0.446;2.57;19.9;-3.3;33.2;33.2;3,28%;-2,12%;1.71;2,52%;-3,25%;0.0;515672000.0;0.85;-4,73%
VGOR4;5.87;-29.58;7.18;1.229;0,00%;1.468;113.97;27.32;-3.22;34.09;34.09;4,50%;-4,59%;1.04;6,00%;-24,29%;0.0;135178000.0;1.89;4,77%
CRBM3;90.0;-28.95;3.26;1.498;0,00%;1.172;2.98;-15.45;16.9;-14.17;-14.17;-9,70%;-5,18%;2.24;-12,71%;-11,28%;0.0;827347000.0;0.45;-1,58%
ARTR3;10.01;-28.06;1.22;0.848;0,00%;0.282;-5.51;3.65;-0.41;10.91;6.24;23,22%;-3,02%;0.64;8,41%;-4,35%;0.0;4713650000.0;2.73;11,38%
DFVA4;8.0;-25.35;49.04;3.497;0,00%;4.335;23.51;-45.18;-25.43;-47.55;-47.55;-7,74%;-13,79%;1.33;-10,35%;-193,42%;0.0;1170000.0;2.84;3,39%
DOHL4;4.14;-23.64;0.45;0.535;0,00%;0.324;0.71;-32.38;1.17;-40.6;49.07;-1,65%;-2,26%;5.61;-1,08%;-1,90%;12385.3;698034000.0;0.17;5,45%
MODL3;3.08;-22.99;1.88;0.0;0,71%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;-8,17%;0.0;1154890000.0;0.0;-62,37%
TAMM4;52.73;-22.74;3.8;0.626;0,00%;0.524;-31.11;9.77;-0.96;18.01;9.66;6,41%;-2,21%;0.95;6,36%;-16,70%;0.0;2174310000.0;4.08;9,79%
TAMM3;52.6;-22.68;3.79;0.625;0,00%;0.523;-31.04;9.74;-0.96;17.98;9.65;6,41%;-2,21%;0.95;6,36%;-16,70%;0.0;2174310000.0;4.08;9,79%
